"SampleDate"	"Station"	"SpeciesCode"	"SizeGroup"	"LabSubsample"	"PlusCount"	"Gear"	"SizeFraction"
1/10/1972 0:00:00	"78"	"Nm"	"All"	1.00	179	5	0
1/10/1972 0:00:00	"80"	"Nm"	"All"	1.00	92	5	0
1/10/1972 0:00:00	"82"	"Nm"	"All"	1.00	207	5	0
1/10/1972 0:00:00	"84"	"Nm"	"All"	1.00	335	5	0
1/10/1972 0:00:00	"86"	"Nm"	"All"	1.00	7	5	0
1/10/1972 0:00:00	"88"	"Nm"	"All"	1.00	180	5	0
1/10/1972 0:00:00	"90"	"Nm"	"All"	1.00	151	5	0
1/10/1972 0:00:00	"92"	"Nm"	"All"	1.00	379	5	0
1/10/1972 0:00:00	"98"	"Nm"	"All"	1.00	80	5	0
1/10/1972 0:00:00	"D15"	"Nm"	"All"	1.00	42	5	0
1/10/1972 0:00:00	"D28"	"Nm"	"All"	1.00	515	5	0
1/11/1972 0:00:00	"104"	"Nm"	"All"	1.00	268	5	0
1/11/1972 0:00:00	"60"	"Nm"	"All"	1.00	1060	5	0
1/11/1972 0:00:00	"62"	"Nm"	"All"	1.00	370	5	0
1/11/1972 0:00:00	"64"	"Nm"	"All"	1.00	22	5	0
1/11/1972 0:00:00	"66"	"Nm"	"All"	1.00	0	5	0
1/11/1972 0:00:00	"68"	"Nm"	"All"	1.00	0	5	0
1/11/1972 0:00:00	"72"	"Nm"	"All"	1.00	346	5	0
1/11/1972 0:00:00	"74"	"Nm"	"All"	1.00	422	5	0
1/11/1972 0:00:00	"76"	"Nm"	"All"	1.00	282	5	0
1/12/1972 0:00:00	"20"	"Nm"	"All"	1.00	23	5	0
1/12/1972 0:00:00	"22"	"Nm"	"All"	1.00	0	5	0
1/12/1972 0:00:00	"24"	"Nm"	"All"	1.00	69	5	0
1/12/1972 0:00:00	"28"	"Nm"	"All"	1.00	0	5	0
1/12/1972 0:00:00	"32"	"Nm"	"All"	1.00	580	5	0
1/12/1972 0:00:00	"36"	"Nm"	"All"	1.00	0	5	0
1/12/1972 0:00:00	"38"	"Nm"	"All"	1.00	0	5	0
1/12/1972 0:00:00	"40"	"Nm"	"All"	1.00	0	5	0
1/13/1972 0:00:00	"33"	"Nm"	"All"	1.00	0	5	0
1/13/1972 0:00:00	"34"	"Nm"	"All"	1.00	235	5	0
1/13/1972 0:00:00	"42"	"Nm"	"All"	1.00	0	5	0
1/13/1972 0:00:00	"44"	"Nm"	"All"	1.00	228	5	0
1/13/1972 0:00:00	"46"	"Nm"	"All"	1.00	120	5	0
1/13/1972 0:00:00	"48"	"Nm"	"All"	1.00	0	5	0
1/13/1972 0:00:00	"50"	"Nm"	"All"	1.00	0	5	0
1/13/1972 0:00:00	"52"	"Nm"	"All"	1.00	91	5	0
1/13/1972 0:00:00	"54"	"Nm"	"All"	1.00	0	5	0
1/13/1972 0:00:00	"56"	"Nm"	"All"	1.00	0	5	0
1/13/1972 0:00:00	"58"	"Nm"	"All"	1.00	0	5	0
2/8/1972 0:00:00	"78"	"Nm"	"All"	1.00	496	5	0
2/8/1972 0:00:00	"82"	"Nm"	"All"	1.00	54	5	0
2/8/1972 0:00:00	"84"	"Nm"	"All"	1.00	80	5	0
2/8/1972 0:00:00	"86"	"Nm"	"All"	1.00	0	5	0
2/8/1972 0:00:00	"88"	"Nm"	"All"	1.00	0	5	0
2/8/1972 0:00:00	"90"	"Nm"	"All"	1.00	0	5	0
2/8/1972 0:00:00	"92"	"Nm"	"All"	1.00	0	5	0
2/8/1972 0:00:00	"98"	"Nm"	"All"	1.00	8	5	0
2/8/1972 0:00:00	"D28"	"Nm"	"All"	1.00	208	5	0
2/9/1972 0:00:00	"104"	"Nm"	"All"	1.00	336	5	0
2/9/1972 0:00:00	"60"	"Nm"	"All"	1.00	152	5	0
2/9/1972 0:00:00	"62"	"Nm"	"All"	1.00	144	5	0
2/9/1972 0:00:00	"64"	"Nm"	"All"	1.00	13	5	0
2/9/1972 0:00:00	"68"	"Nm"	"All"	1.00	0	5	0
2/9/1972 0:00:00	"76"	"Nm"	"All"	1.00	138	5	0
2/9/1972 0:00:00	"80"	"Nm"	"All"	1.00	70	5	0
2/9/1972 0:00:00	"D11"	"Nm"	"All"	1.00	0	5	0
2/9/1972 0:00:00	"D14"	"Nm"	"All"	1.00	0	5	0
2/9/1972 0:00:00	"D15"	"Nm"	"All"	1.00	0	5	0
2/9/1972 0:00:00	"D19"	"Nm"	"All"	1.00	0	5	0
2/10/1972 0:00:00	"20"	"Nm"	"All"	1.00	0	5	0
